자치구코드,자치구명,법정동코드,법정동명,본번,부번,건물명,계약일,물건금액,건물면적,층,건축년도,건물용도,신고구분
11650,서초구,10700,반포동,0060,0004,반포미도,20230213,213000,84.96,10,1987,아파트,중개거래
11650,서초구,10700,반포동,0060,0004,반포미도,20230213,213000,84.96,10,1987,아파트,중개거래
11650,서초구,10600,잠원동,0051,0000,훼미리,20230212,182000,84.69,8,1992,아파트,중개거래
11650,서초구,10600,잠원동,0160,0000,신반포자이,20230211,278000,84.92,11,2018,아파트,중개거래
11650,서초구,10800,서초동,1687,0000,유원서초,20230211,159000,84.82,8,1993,아파트,중개거래
11650,서초구,10800,서초동,1301,0006,래미안서초스위트,20230210,230000,95.76,29,2009,아파트,중개거래
11650,서초구,10600,잠원동,0157,0000,동아,20230210,179000,59.92,12,2002,아파트,중개거래
11650,서초구,10800,서초동,1312,0003,롯데캐슬클래식,20230209,178000,74.3,9,2006,아파트,중개거래
11650,서초구,10800,서초동,1312,0003,롯데캐슬클래식,20230209,200000,84.98,3,2006,아파트,중개거래
11650,서초구,10600,잠원동,0051,0000,훼미리,20230209,180000,84.83,6,1992,아파트,중개거래
11650,서초구,10700,반포동,0046,0000,엠브이아파트,20230209,130000,83.4,16,1994,아파트,중개거래
11650,서초구,10100,방배동,3278,0000,방배아트자이,20230209,155000,59.99,12,2018,아파트,중개거래
11650,서초구,10600,잠원동,0070,0000,신반포4,20230209,242000,96.48,9,1979,아파트,중개거래
11650,서초구,10700,반포동,0030,0026,반포리체,20230208,220000,59.99,30,2010,아파트,중개거래
11650,서초구,10700,반포동,0020,0043,반포자이,20230208,297000,84.94,26,2009,아파트,중개거래
11650,서초구,10700,반포동,1342,0000,반포써밋,20230208,204500,59.33,24,2018,아파트,중개거래
11650,서초구,10200,양재동,0137,0001,우성112,20230206,130000,84.91,10,1991,아파트,중개거래
11650,서초구,10600,잠원동,0050,0001,롯데캐슬갤럭시(50-1),20230206,237000,109.56,19,2004,아파트,중개거래
11650,서초구,10800,서초동,1593,0007,서초이오빌,20230206,37500,36.66,6,2003,아파트,중개거래
11650,서초구,10600,잠원동,0162,0000,반포센트럴자이,20230206,297000,84.95,12,2020,아파트,중개거래
11650,서초구,10100,방배동,0987,0003,롯데빌라트2차,20230205,157500,206.55,6,1998,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20230205,330000,84.93,10,2009,아파트,중개거래
11650,서초구,10700,반포동,0968,0000,에이아이디차관주택,20230205,250000,72.51,2,1974,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20230204,315000,84.85,16,2009,아파트,중개거래
11650,서초구,10700,반포동,0018,0001,래미안퍼스티지,20230204,315000,84.85,16,2009,아파트,중개거래
11650,서초구,10800,서초동,1346,0000,현대아파트,20230204,174000,84.34,5,1989,아파트,중개거래
11650,서초구,10700,반포동,0968,0000,에이아이디차관주택,20230203,239000,72.51,3,1974,아파트,중개거래
11650,서초구,10600,잠원동,0157,0000,동아,20230203,222000,84.91,20,2002,아파트,중개거래
11650,서초구,10100,방배동,0770,0001,삼호1동~3동,20230202,165000,116.13,5,1975,아파트,중개거래
11650,서초구,10100,방배동,0866,0020,방배대우디오빌,20230201,30000,29.6,16,2005,아파트,중개거래
11650,서초구,10100,방배동,0424,0028,롯데캐슬아르떼,20230201,270000,216.28,14,2013,아파트,직거래
11650,서초구,10800,서초동,1312,0003,롯데캐슬클래식,20230130,260000,120.18,9,2006,아파트,중개거래
11650,서초구,10800,서초동,1330,0000,서초동삼성쉐르빌2,20230130,33800,35.22,3,2002,아파트,중개거래
11650,서초구,10800,서초동,1312,0003,롯데캐슬클래식,20230130,180000,74.3,18,2006,아파트,중개거래
11650,서초구,10800,서초동,1330,0000,서초동삼성쉐르빌2,20230130,33800,35.22,3,2002,아파트,중개거래
