region,correlation,p_value,sensitivity,significant
송파구,0.1469555892172553,0.422203888248049,0.1469555892172553,
강남구,0.06636286515448601,0.7048604891256198,0.06636286515448601,
서초구,-0.01913114269206706,0.9172283147691944,0.01913114269206706,
