점포수 변화,예측 매출(억),변화(억)
-2개,17.389509389202207,-7.773651863525932
-1개,21.276335320965174,-3.8868259317629645
+1개,29.04998718449111,3.886825931762972
+2개,32.93681311625407,7.773651863525934
+3개,36.823639048017036,11.660477795288896
