유동인구 변화,예측 매출(억),변화(억)
-30%,21.996164405366727,-3.166996847361412
-20%,23.05183002115386,-2.111331231574278
-10%,24.107495636941003,-1.0556656157871342
+10%,26.218826868515283,1.0556656157871438
+20%,27.274492484302417,2.111331231574278
+30%,28.330158100089555,3.1669968473614167
