상권유형,예측 매출(억),골목상권 대비(억)
관광특구,53.490024883897874,28.32686363116974
발달상권,40.22727395979668,15.064112707068547
전통시장,37.43184295309224,12.268681700364104
미분류,29.59840148874033,4.435240236012191
골목상권,25.163161252728138,0.0
