변수,계수,표준오차(HC3),t값,p값,계수(억원),유의성
const,-973220686.1762197,80482995.9634343,-12.092252214596751,1.1606082762865732e-33,-9.732206861762197,***
점포_수,399192392.4183401,12566352.23571253,31.76676770876026,1.8632823805518415e-221,3.991923924183401,***
총_유동인구_수,185.94486902768736,12.97330750429279,14.332880721909914,1.3634548945265578e-46,1.8594486902768736e-06,***
발달상권,1471873944.680477,141926870.32421213,10.370650330823095,3.3722188983637415e-25,14.718739446804769,***
전통시장,1194138983.5339339,103494185.1177282,11.5382229656242,8.465603746623082e-31,11.941389835339338,***
관광특구,2719155654.4301505,210087238.80645287,12.942983447629715,2.5743453166718973e-38,27.191556544301505,***
미분류,439416999.72070605,95854958.18391077,4.584186442162176,4.557574439651388e-06,4.394169997207061,***
