모델,Test R²,Test MAE,Test RMSE,OOB R²,CV R² (mean),Test MAE(억),Test RMSE(억)
Linear (OLS),0.7173884462888629,1266781147.8843682,1877094104.2451575,,,12.667811478843682,18.770941042451575
Random Forest,0.8633114918663917,885819064.4759252,1305440526.772643,0.8277118773599883,,8.858190644759253,13.05440526772643
Gradient Boosting,0.8635383248545072,912444215.0339391,1304356895.3384838,,0.822056134401611,9.12444215033939,13.043568953384838
