기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20222,11710590,송파2동,CS300002,편의점,989634473,162625,695680273,293954200,132907841,140204986,141443432,136563085,144560929,152970513,140983687,129120091,147995260,113304422,140456103,243825428,214933169,631314041,354205607,21529100,199697682,287582135,254379868,138094972,84235892,116539,46086,23365,23660,23844,22262,23408,24784,21302,17900,27365,21000,25954,38733,31673,99633,62484,6410,36861,43453,39095,22412,13886
20222,11710600,석촌동,CS300002,편의점,4082861282,532346,2836695566,1246165716,580096041,561756643,565111231,536336058,593395593,641408542,604757174,409212680,490661327,490065848,587157044,1220420561,885343822,2250367676,1797426368,40191732,895522986,1373819498,910953742,539995808,287310280,373567,158779,73900,74885,74595,72421,77766,82277,76502,52200,80387,69854,78096,142974,108835,314807,214520,9169,123872,173236,112084,69885,41079
20222,11710610,삼전동,CS300002,편의점,4018864211,590065,2811283360,1207580851,554826298,546789682,559149095,540691010,609827275,640681088,566899763,591219643,504876962,395836758,450168071,1098608145,978154632,2507165240,1511698971,53192239,864492931,1324888774,1018722217,498655982,258912068,417267,172798,83583,82922,83115,81625,86022,90208,82590,74726,85936,66928,75789,154312,132374,362525,227540,17273,141418,182727,139029,73886,35732
20222,11710620,가락본동,CS300002,편의점,6143590136,831688,4613113861,1530476275,864150613,939855977,905295816,920041859,983769596,848791462,681684813,641554036,986502965,991827136,883844030,1634775174,1005086795,3822733981,2246488904,56071783,1308750041,1851556081,1349412526,989351156,514081298,646634,185054,124117,132084,127208,128458,134767,100426,84628,82174,172177,144161,116249,189852,127075,552961,271268,9669,189096,262771,170614,125176,66901
20222,11710631,가락1동,CS300002,편의점,906698139,154589,687630509,219067630,127861821,140054289,117616753,149468904,152628742,135262562,83805068,116893932,157907448,83327584,93593230,260658349,194317596,755683366,151014773,755640,168836309,248254987,237491807,187725584,63633812,119240,35349,21632,23902,21896,26433,25377,20998,14351,17623,30707,14879,17147,44370,29863,123709,30880,329,31143,38057,38776,30989,15295
20222,11710632,가락2동,CS300002,편의점,2352122163,368506,1654022129,698100034,359827080,311367668,329404523,301973485,351449373,354946533,343153501,293817292,400434040,277676179,287584746,576595682,516014224,1622835474,727173976,48235082,484044116,734542735,449991213,404958474,228237832,264157,104349,54876,52285,52186,49140,55670,52520,51829,41968,63588,49915,50865,89229,72941,247439,120858,13003,89910,109979,66722,56718,31966
20222,11710641,문정1동,CS300002,편의점,2573206303,403491,1875609509,697596794,354398041,377934362,367364724,363599350,412313032,365523721,332073073,310706014,501356156,312820177,310591413,638648578,499083965,1777889850,677132405,40151462,480592003,782890010,512903168,444046875,194438738,299698,103793,58727,62138,58620,59298,60915,54915,48878,42032,84375,53474,50524,101349,71737,275020,121423,11675,95380,122947,71749,68490,26203
20222,11710642,문정2동,CS300002,편의점,8317866748,1214809,6851674545,1466192203,1348989510,1410266783,1359364884,1357640511,1375412857,798745726,667446477,363423012,1449767556,1636261369,1407335177,2396326513,1064753121,4819631745,3135474616,32961470,1910241512,2775977711,1823079742,1060977987,351867940,1024895,189914,202148,214014,203352,201837,203544,105098,84816,53362,286611,250380,193453,289506,141497,784101,401778,6820,305470,425637,262867,135568,49509
20222,11710646,장지동,CS300002,편의점,1442124989,219492,1061078560,381046429,200797658,216703907,216381383,202337947,224857665,201948724,179097705,152765887,266143863,209607507,206078215,346378629,261150888,991176520,442651224,26332439,225798935,376411618,385856644,269803385,149624723,165207,54285,32486,34385,32672,31742,33922,27794,26491,20367,45918,33637,32496,50529,36545,146837,71900,6486,43850,57767,52344,40093,18197
20222,11710647,위례동,CS300002,편의점,293434332,46636,200787478,92646854,39878547,36823378,40300834,36817130,46967589,46475439,46171415,3520181,36492643,43817064,58363226,90346787,60894431,167043154,107238782,5315887,35131603,74863470,98645978,44109498,16215500,32210,14426,6347,6520,6274,6061,7008,7230,7196,431,6614,7224,9700,13814,8853,25798,19187,1723,7343,12531,14802,6261,2326
