모델,Test R²,Test MAE,OOB R²,CV R²,Test MAE(억)
Linear (OLS),0.7173884462959916,1266781147.9567683,,,12.667811479567682
Random Forest,0.8633114918663917,885819064.4759251,0.8277118773599883,,8.85819064475925
Gradient Boosting,0.8635383248545072,912444215.0339391,,0.822056134401611,9.12444215033939
