기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00~06_유동인구_수,시간대_06~11_유동인구_수,시간대_11~14_유동인구_수,시간대_14~17_유동인구_수,시간대_17~21_유동인구_수,시간대_21~24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20243,11170630,이촌1동,4432186.0,2018422.0,2413764.0,930302.0,383668.0,572112.0,817367.0,721502.0,1007235.0,1103564.0,945225.0,527208.0,532663.0,752218.0,571308.0,621924.0,626549.0,632257.0,629954.0,641428.0,640764.0,639311.0
20243,11170640,이촌2동,1590725.0,774329.0,816395.0,185586.0,196364.0,287570.0,274930.0,255301.0,390974.0,409716.0,335582.0,180651.0,190829.0,268753.0,205192.0,223355.0,225372.0,225100.0,223111.0,224445.0,234569.0,234772.0
20243,11170650,이태원1동,2549977.0,1342694.0,1207283.0,163167.0,625508.0,633503.0,439422.0,310224.0,378153.0,611324.0,443623.0,326863.0,343485.0,478071.0,346610.0,334186.0,323392.0,335036.0,338482.0,370705.0,437356.0,410820.0
20243,11170660,이태원2동,2879625.0,1358784.0,1520840.0,303502.0,429251.0,664119.0,625051.0,362036.0,495665.0,780578.0,599439.0,334689.0,331154.0,463724.0,370040.0,403010.0,402764.0,405108.0,405312.0,407883.0,429836.0,425714.0
20243,11170685,한남동,4400850.0,2091903.0,2308946.0,351579.0,732941.0,1044577.0,943511.0,631186.0,697054.0,826801.0,902129.0,654362.0,688014.0,837741.0,491803.0,610678.0,631635.0,647246.0,642228.0,660486.0,631410.0,577167.0
20243,11170690,서빙고동,1774211.0,865422.0,908790.0,307430.0,226392.0,258304.0,346046.0,294723.0,341316.0,497041.0,391527.0,204729.0,198116.0,260146.0,222652.0,249981.0,252007.0,252088.0,252314.0,251505.0,254833.0,261481.0
20243,11170700,보광동,2596555.0,1315720.0,1280836.0,266908.0,341610.0,451434.0,531629.0,430463.0,574512.0,710433.0,553559.0,295531.0,292601.0,405018.0,339413.0,371084.0,368133.0,367333.0,368239.0,371425.0,374146.0,376195.0
20243,11200520,왕십리2동,4257821.0,1874223.0,2383597.0,561804.0,685638.0,808954.0,657313.0,622256.0,921858.0,1241742.0,861085.0,436208.0,442288.0,684571.0,591928.0,594867.0,593802.0,599062.0,597541.0,595197.0,632114.0,645236.0
20243,11200535,왕십리도선동,5497986.0,2513452.0,2984533.0,706476.0,996889.0,1024744.0,885991.0,818718.0,1065168.0,1324978.0,1120745.0,695201.0,703568.0,971484.0,682009.0,780272.0,777210.0,789042.0,791267.0,799681.0,787655.0,772859.0
20243,11200540,마장동,5084854.0,2487987.0,2596867.0,628116.0,830053.0,807369.0,790647.0,836344.0,1192323.0,1289376.0,1132093.0,636605.0,608623.0,806371.0,611786.0,724676.0,727343.0,732369.0,735423.0,734769.0,717810.0,712463.0
20243,11200550,사근동,3900199.0,1888667.0,2011532.0,557563.0,1610160.0,491048.0,374902.0,364851.0,501674.0,1057716.0,815723.0,451520.0,431045.0,621336.0,522858.0,554303.0,556032.0,566082.0,572674.0,575321.0,547759.0,528027.0
20243,11200560,행당1동,5352424.0,2517033.0,2835391.0,784479.0,1085818.0,895736.0,883322.0,784829.0,918240.0,1239858.0,1078138.0,683873.0,704495.0,984968.0,661095.0,758455.0,759257.0,771184.0,777873.0,780842.0,771750.0,733065.0
