기준_년분기_코드,상권구분_코드,상권구분_명,상권_코드,상권_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액
20224,A,골목상권,3111034,오동나무공원(송파레미니스1단지),335480908.0,46018.0,241331287.0,94149621.0
20223,A,골목상권,3110265,망우역 1번,5360352.0,1047.0,5360352.0,0.0
20224,D,발달상권,3120077,미아역,143361091.0,37723.0,125742917.0,17618174.0
20224,A,골목상권,3110480,연신내역 3번,152899331.0,20204.0,109792010.0,43107321.0
20224,D,발달상권,3120107,공덕역(공덕오거리),1001199101.0,115640.0,722673419.0,278525682.0
20224,A,골목상권,3110562,연트럴파크(연남동주민센터),632795676.0,95079.0,426025931.0,206769745.0
20224,A,골목상권,3110691,개봉중학교,249089426.0,31603.0,171909738.0,77179688.0
20224,A,골목상권,3110828,노량진역 6번,1232843821.0,211765.0,893608419.0,339235402.0
20224,A,골목상권,3110903,방배아이파크아파트,238441939.0,46911.0,171795132.0,66646807.0
20224,A,골목상권,3111011,잠실나루역,1078881933.0,179803.0,753754758.0,325127175.0
20224,A,골목상권,3110354,삼각산119안전센터,184041024.0,21615.0,128085688.0,55955336.0
20224,A,골목상권,3110576,대흥역 3번,364955491.0,62565.0,264991490.0,99964001.0
20224,D,발달상권,3120129,구로디지털단지,5038123038.0,767983.0,4462140794.0,575982244.0
