행정동_코드_명,기준_년분기_코드,당월_매출_금액,매출(억원)
화양동,20234,9947003446.0,99.5
명동,20221,9938473441.0,99.4
역삼2동,20224,9926284588.0,99.3
역삼2동,20242,9917852211.0,99.2
논현1동,20252,9876803801.0,98.8
영등포동,20224,9861928437.0,98.6
역삼2동,20232,9851929608.0,98.5
영등포동,20223,9847034826.0,98.5
논현1동,20243,9840760147.0,98.4
논현1동,20234,9822394859.0,98.2
논현2동,20241,9816262385.0,98.2
논현2동,20252,9790473786.0,97.9
구로3동,20222,9737117974.0,97.4
영등포동,20231,9732390890.0,97.3
종로1·2·3·4가동,20231,9711658446.0,97.1
역삼2동,20234,9702943784.0,97.0
구로3동,20223,9678215029.0,96.8
수서동,20233,9659174912.0,96.6
서초3동,20231,9645881467.0,96.5
영등포동,20222,9635597956.0,96.4
종로1·2·3·4가동,20221,9632026498.0,96.3
구로3동,20243,9626791761.0,96.3
삼성1동,20233,9605171088.0,96.1
화양동,20231,9571441978.0,95.7
서초3동,20221,9565642624.0,95.7
구로3동,20232,9553233201.0,95.5
영등포동,20241,9552240370.0,95.5
성수2가3동,20223,9533890890.0,95.3
삼성1동,20252,9514649303.0,95.1
가양1동,20243,9480455876.0,94.8
구로3동,20234,9475524185.0,94.8
논현1동,20242,9449615835.0,94.5
구로3동,20253,9411400556.0,94.1
가양1동,20242,9399914882.0,94.0
청담동,20232,9397353872.0,94.0
수서동,20232,9384070723.0,93.8
수서동,20243,9356367938.0,93.6
가양1동,20234,9352699244.0,93.5
광희동,20223,9351373571.0,93.5
화양동,20242,9343531147.0,93.4
삼성1동,20232,9328022544.0,93.3
가양1동,20233,9327006715.0,93.3
논현1동,20244,9306985368.0,93.1
삼성1동,20244,9298164706.0,93.0
신림동,20222,9275298444.0,92.8
수서동,20253,9268815295.0,92.7
역삼2동,20231,9259998534.0,92.6
역삼2동,20241,9255339311.0,92.6
청담동,20233,9246878395.0,92.5
성수2가3동,20233,9242202741.0,92.4
구로3동,20224,9241404857.0,92.4
삼성1동,20243,9218146755.0,92.2
화양동,20221,9206390346.0,92.1
성수2가3동,20253,9186121708.0,91.9
구로3동,20242,9181895375.0,91.8
논현1동,20241,9168728346.0,91.7
신림동,20223,9147038515.0,91.5
