기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20232,11470611,신월7동,CS300002,편의점,831102873.0,113911.0,604795172.0,226307701.0,118094422.0,117303940.0,113185054.0,126088866.0,130122890.0,118401572.0,107906129.0,104066464.0,135034358.0,93552651.0,92912996.0,237564169.0,167972235.0,529514787.0,291200985.0,7752652.0,96819395.0,227802812.0,215943709.0,135144647.0,137252557.0,82599.0,31312.0,16268.0,16316.0,16038.0,16315.0,17662.0,16378.0,14934.0,13295.0,20649.0,13685.0,14537.0,29817.0,21928.0,71442.0,40929.0,2016.0,16609.0,29759.0,26326.0,19140.0,18524.0
20232,11710580,송파1동,CS300002,편의점,2863575812.0,457702.0,2018073940.0,845501872.0,384608184.0,389864116.0,385626060.0,408512252.0,449463328.0,448903041.0,396598831.0,299820304.0,440306524.0,361677815.0,371812402.0,764142956.0,625815811.0,1804647575.0,1041288335.0,29734928.0,592199730.0,1013860274.0,532581684.0,439908933.0,237650360.0,323259.0,134443.0,62384.0,63031.0,62392.0,65836.0,69616.0,70613.0,63830.0,42202.0,75971.0,64487.0,66336.0,118825.0,89881.0,277357.0,179400.0,7383.0,113066.0,159740.0,80614.0,61181.0,34773.0
20232,11740515,강일동,CS300002,편의점,1113860515.0,169840.0,891968891.0,221891624.0,167711693.0,173921598.0,182925767.0,187607590.0,179802243.0,108535481.0,113356143.0,37030933.0,235404663.0,199891512.0,188177185.0,291714752.0,161641470.0,710496111.0,403364404.0,9964670.0,188579980.0,333639076.0,311932645.0,205898574.0,63845570.0,141717.0,28123.0,26584.0,28529.0,29381.0,29303.0,27920.0,14163.0,13960.0,5605.0,44256.0,31870.0,28495.0,38490.0,21124.0,114799.0,55041.0,2479.0,31581.0,54726.0,44407.0,27950.0,8697.0
20232,11170625,한강로동,CS300002,편의점,2431519242.0,383045.0,1874129602.0,557389640.0,356206701.0,361713773.0,369469529.0,383727936.0,403011663.0,300864919.0,256524721.0,182304262.0,440199447.0,420482924.0,355288801.0,605168835.0,428074973.0,1590261130.0,709557039.0,7930545.0,455150216.0,836546834.0,527962265.0,325825965.0,146402345.0,300417.0,82628.0,55539.0,57405.0,61003.0,62512.0,63958.0,44608.0,38020.0,24005.0,77204.0,74583.0,59701.0,90441.0,57111.0,252392.0,118466.0,1557.0,85203.0,137646.0,75051.0,47824.0,23577.0
20232,11200540,마장동,CS300002,편의점,2378448582.0,334208.0,1750734255.0,627714327.0,333921581.0,330427060.0,360842254.0,346759127.0,378784233.0,322872298.0,304842029.0,270050019.0,429874459.0,312485166.0,318174333.0,586659294.0,461205311.0,1572426888.0,659794467.0,26444820.0,415676092.0,620554997.0,539551135.0,399924561.0,230069749.0,250703.0,83505.0,49901.0,47876.0,51102.0,50334.0,51490.0,43454.0,40051.0,34432.0,67766.0,45074.0,47327.0,80082.0,59527.0,214803.0,104505.0,6808.0,74249.0,88686.0,67320.0,52524.0,29724.0
20232,11200645,옥수동,CS300002,편의점,272353797.0,44002.0,198906723.0,73447074.0,38297694.0,36828447.0,37353771.0,40676723.0,45750088.0,40680218.0,32766856.0,25562144.0,35900029.0,29762840.0,41199149.0,80570477.0,59359158.0,187534725.0,84819072.0,2313731.0,26557992.0,83965247.0,71946331.0,59985394.0,27585102.0,32357.0,11645.0,6389.0,6165.0,6203.0,6386.0,7214.0,6457.0,5188.0,3664.0,6974.0,5778.0,7143.0,12183.0,8260.0,28790.0,15212.0,634.0,5623.0,14294.0,10415.0,8496.0,4540.0
20232,11215840,자양3동,CS300002,편의점,7041226633.0,791397.0,4120799976.0,2920426657.0,887275967.0,781775936.0,721748283.0,775502943.0,954496847.0,1526431728.0,1393994929.0,321833150.0,388734823.0,901636816.0,1395200547.0,2744729246.0,1289092051.0,3321224545.0,3693205131.0,269431472.0,2428984077.0,1802815084.0,1295863562.0,858406744.0,358928736.0,473622.0,317775.0,99420.0,89485.0,85685.0,86723.0,112309.0,163437.0,154338.0,43934.0,60572.0,97449.0,151381.0,286120.0,151941.0,403082.0,386277.0,40471.0,265305.0,195686.0,145817.0,100052.0,42029.0
20232,11260565,면목본동,CS300002,편의점,3706596845.0,498908.0,2638143177.0,1068453668.0,540306531.0,494655180.0,524915980.0,508062812.0,570202674.0,533299749.0,535153919.0,504661704.0,563882685.0,363240627.0,448204503.0,1053861655.0,772745671.0,2421661828.0,1254659703.0,49892733.0,670110297.0,935260805.0,802156647.0,764635986.0,454265062.0,354694.0,144214.0,71828.0,68918.0,71633.0,67834.0,74481.0,73319.0,70895.0,68304.0,82771.0,53453.0,61320.0,133445.0,99615.0,320954.0,176284.0,10810.0,110226.0,132260.0,99188.0,91670.0,53084.0
20232,11290770,장위2동,CS300002,편의점,215602018.0,31564.0,159143262.0,56458756.0,33399710.0,30599990.0,32328978.0,31143211.0,31671373.0,30877938.0,25580818.0,11384645.0,37450188.0,31893319.0,30828652.0,63636402.0,40408812.0,148055756.0,67546262.0,3011604.0,40403743.0,63329789.0,33937850.0,46401382.0,28517650.0,23258.0,8306.0,4885.0,4496.0,4831.0,4636.0,4410.0,4440.0,3866.0,1387.0,6542.0,4689.0,4646.0,8699.0,5601.0,19841.0,11723.0,768.0,7217.0,8565.0,4979.0,5889.0,4146.0
20232,11305603,번2동,CS300002,편의점,843921923.0,115144.0,587309678.0,256612245.0,111536373.0,113610291.0,115858510.0,119372708.0,126931796.0,123991377.0,132620868.0,114592870.0,119743964.0,107497594.0,123217759.0,218033416.0,160836320.0,597410006.0,246511917.0,8605541.0,154961068.0,191077778.0,213361462.0,189359999.0,86556075.0,81358.0,33786.0,15930.0,16043.0,16277.0,16423.0,16685.0,16025.0,17761.0,15059.0,19014.0,14352.0,17341.0,28407.0,20971.0,77908.0,37236.0,2219.0,24232.0,25484.0,23483.0,26417.0,13309.0
