변수,계수,t값,p값,계수(억원),유의성
const,-973220686.4746088,-12.092252217291792,1.1606082382081496e-33,-9.732206864746088,***
점포_수,399192392.4337049,31.766767708190404,1.8632824143152121e-221,3.991923924337049,***
총_유동인구_수,185.94486898754764,14.332880718812365,1.3634549553514536e-46,1.8594486898754764e-06,***
발달상권,1471873944.6804779,10.370650330910259,3.372218895287599e-25,14.71873944680478,***
전통시장,1194138983.533934,11.538222965317125,8.465603776839534e-31,11.941389835339342,***
관광특구,2719155654.4301534,12.942983447558357,2.5743453190635707e-38,27.191556544301534,***
미분류,439416999.7207068,4.58418644213945,4.557574440147017e-06,4.394169997207068,***
